	t	X	S	P(X)	P(mu)	P
0	0.0	0.02	23.0	0.0	0.0	0.0
1	0.10101010101010101	0.021441277076192516	22.99520589182067	0.004255351304876151	0.001898865005838787	0.006154216310714939
2	0.20202020202020202	0.0229864052623758	22.990066344541486	0.008817362691774702	0.003934552585099713	0.012751915276874415
3	0.30303030303030304	0.02464286247033504	22.984556484445488	0.01370812170128195	0.006116914795544732	0.019825036496826678
4	0.40404040404040403	0.026418669238204247	22.978649632882117	0.018951319558904858	0.008456518598545983	0.027407838157450837
5	0.5050505050505051	0.028322422257830954	22.972317194745433	0.024572350405556345	0.010964690030980698	0.035537040436537035
6	0.6060606060606061	0.03036333673635025	22.965528517567112	0.030598436667209107	0.013653570016089382	0.04425200668329848
7	0.7070707070707071	0.03255129162740711	22.958250741064255	0.037058762935902476	0.016536173955060757	0.05359493689096323
8	0.8080808080808081	0.03489687180952813	22.950448656841775	0.04398460085043059	0.019626447296523145	0.06361104814695374
9	0.9090909090909091	0.03741143293080113	22.942084492700097	0.051409501100027837	0.022939350968620605	0.07434885206864844
10	1.0101010101010102	0.04010714203915422	22.933117777486952	0.05936941380229849	0.026490914908911048	0.08586032871120955
11	1.1111111111111112	0.04299704222966108	22.923505126061624	0.0679028800156293	0.03029832323640419	0.09820120325203349
12	1.2121212121212122	0.046095114295968236	22.91320003422427	0.07705121444229276	0.03437999547656653	0.11143120991885931
13	1.3131313131313131	0.0494163451660639	22.9021526510786	0.08685870829366632	0.03875567672461394	0.12561438501828026
14	1.4141414141414141	0.052976799480852405	22.89030954094065	0.09737284154567313	0.043446531949412205	0.1408193734950853
15	1.5151515151515151	0.05679369855812602	22.87761342068154	0.10864451718720407	0.048475250027548863	0.1571197672147529
16	1.6161616161616161	0.06088549774199205	22.864002902440756	0.12072829065922094	0.05386614565026194	0.17459443630948285
17	1.7171717171717171	0.06527197592474494	22.84941219585022	0.13368263562248026	0.0596452772674169	0.19332791288989712
18	1.8181818181818181	0.06997434090741612	22.833770757574403	0.14757025694161632	0.06584058589874861	0.21341084284036488
19	1.9191919191919191	0.07501532276769311	22.81700298074134	0.16245836795609048	0.07248201814495854	0.234940386101049
20	2.0202020202020203	0.08041928039755536	22.799027840567383	0.178419007264465	0.07960166654975306	0.25802067381421806
21	2.121212121212121	0.08621232384426321	22.779758487415357	0.19552940239658986	0.08723393078260759	0.28276333317919744
22	2.2222222222222223	0.0924224363474024	22.75910184086374	0.21387233322885352	0.09541567842108724	0.30928801164994074
23	2.323232323232323	0.0990796067974435	22.736958149110837	0.23353652605728284	0.10418641946338675	0.3377229455206696
24	2.4242424242424243	0.1062159784230141	22.713220494397518	0.25461709693546014	0.11358850222200191	0.3682055991574621
25	2.525252525252525	0.11386599699393646	22.687774300040658	0.2772159932023862	0.12366730857942783	0.40088330178181397
26	2.6262626262626263	0.12206657883876186	22.660496771557796	0.301442495199376	0.13447147534921547	0.43591397054859143
27	2.727272727272727	0.13085728359961338	22.6312563220341	0.3274137318831045	0.14605312187837446	0.47346685376147907
28	2.8282828282828283	0.1402805042825108	22.599911939959526	0.35525524912360834	0.1584681004363628	0.5137233495599712
29	2.929292929292929	0.15038166863369973	22.566312519392373	0.38510161219148875	0.17177626152594982	0.5568778737174387
30	3.0303030303030303	0.16120945226009295	22.530296151058508	0.4170970439622418	0.18604173466680346	0.6031387786290453
31	3.131313131313131	0.17281601388804133	22.49168933981203	0.451396130895998	0.20133323834605757	0.6527293692420556
32	3.2323232323232323	0.1852572346817986	22.450306208592206	0.4881645408134559	0.2177243953174768	0.7058889361309327
33	3.3333333333333335	0.19859299076527043	22.405947591936613	0.5275798435754113	0.23529409164554357	0.762873935220955
34	3.4343434343434343	0.21288742444477812	22.35840013381507	0.5698323262474299	0.2541268340381487	0.8239591602855785
35	3.5353535353535355	0.22820925667309486	22.307435248283042	0.6151259376302789	0.2743131615141554	0.8894390991444343
36	3.6363636363636362	0.2446320972448837	22.25280808768112	0.6636792234090482	0.2959500540821144	0.9596292774911624
37	3.7373737373737375	0.2622347992760365	22.194256363533267	0.7157264020229918	0.31914139976247735	1.034867801785469
38	3.8383838383838382	0.2811018165965284	22.131499157753883	0.771518446748915	0.34399846544833373	1.1155169121972488
39	3.9393939393939394	0.30132360279301	22.064235595315694	0.8313243020026121	0.37064042263916885	1.201964724641781
40	4.040404040404041	0.3229970243775597	21.992143469929893	0.895432141728876	0.3991948917856658	1.294627033514542
41	4.141414141414141	0.34622580755792093	21.91487775795796	0.9641507372388299	0.42979853090405623	1.3939492681428864
42	4.242424242424242	0.371121015987646	21.832069029275235	1.0378109239840865	0.46259766500611954	1.5004085889902063
43	4.343434343434343	0.39780154933182565	21.743321788895813	1.1167671349602974	0.49774894295346306	1.6145160779137606
44	4.444444444444445	0.42639469352319287	21.64821264666016	1.201399107901331	0.5354200624132426	1.736819170314574
45	4.545454545454545	0.45703667814390614	21.54628846322062	1.2921136087838963	0.5757905042018768	1.8679041129857727
46	4.646464646464646	0.4898733029961971	21.437064265884594	1.389346400440654	0.6190523577842502	2.008398758224904
47	4.747474747474747	0.5250605656200681	21.320021161307537	1.4935641982124945	0.6654111480206413	2.158975346233136
48	4.848484848484849	0.5627653649648439	21.19460399487602	1.6052669132013175	0.7150867622454282	2.320353675446746
49	4.94949494949495	0.6031662109745004	21.060218990419834	1.7249898903729532	0.7683143851371224	2.4933042755100754
50	5.05050505050505	0.6464540053913171	20.916231153031184	1.853306439686556	0.8253455274176771	2.678651967104233
